Ar	NotflNr	NotFlHeiti	TegundNr	TegundHeiti	EldsnTegNr	EldsnTegHeiti	Notkun	Frumorka
1982	0523 	Gasolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	05	Dísilolía	12200	528626
1982	0623 	Svartolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	08	Svartolía	22400	900256
1982	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	37616	1685196,8
1982	0290 	Flugvélabensín, sala alls	02	Flugvélar	01	Flugvélabensín	54	2419,2
1982	0310 	Þotueldsneyti tekið hér á landi, innlend notkun	02	Flugvélar	04	Þotueldsneyti	633	28225,47
1982	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	2710	120838,9
1982	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	6548	291975,32
1982	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	547	24390,73
1982	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	44106	1911112,98
1982	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	1746	75654,18
1982	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	10993	476326,69
1982	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	20697	896801,01
1982	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	12865	557440,45
1982	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	1100	47663
1982	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	900	38997
1982	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	35014	1407212,66
1982	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	670	26927,3
1982	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	1339	53814,41
1982	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	27088	1088666,72
1982	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	16206	722625,54
1982	0322 	Þotueldsneyti tekið erlendis, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	46095	2055376,05
