,Ar,data
0,1982,221420.43000000002
1,1983,214860.03000000003
2,1984,219905.07
3,1985,228087.09
4,1986,242508.42
5,1987,271475.82
6,1988,291198.60000000003
7,1989,289881.9
8,1990,295245.72000000003
9,1991,306391.47
10,1992,314118.42
11,1993,310815.12
12,1994,314335.56000000006
13,1995,313238.31
14,1996,318380.37000000005
15,1997,318907.05
16,1998,328047.72000000003
17,1999,334277.79
18,2000,329403.69
19,2001,331727.55
20,2002,334887.63
21,2003,338849.28
22,2004,349849.5
23,2005,362046.3
24,2006,372436.68000000005
25,2007,369419.82
26,2008,358315.65
27,2009,357892.92
28,2010,342374.34
29,2011,329609.28
30,2012,316102.71
31,2013,311713.71
32,2014,305026.26
33,2015,306014.93999999994
34,2016,314980.05
35,2017,308985.60000000003
36,2018,293610.24
37,2019,274298.64
