,Ar,TegundNr,EldsnTegHeiti,Notkun,Losun (kg)
1456,2000,1,Metan,6.0,0.0
1557,2001,1,Metan,12.0,0.0
1656,2002,1,Metan,15.0,0.0
1720,2003,1,Steinolía og þotueldsneyti,0.0,0.0
1721,2003,1,Steinolía og þotueldsneyti,0.0,0.0
1787,2003,1,Metan,24.0,0.0
1792,2003,1,Steinolía og þotueldsneyti,18.0,0.0
1793,2003,1,Steinolía og þotueldsneyti,112.0,0.0
1832,2003,1,Steinolía og þotueldsneyti,41.0,0.0
1860,2004,1,Steinolía og þotueldsneyti,0.0,0.0
1861,2004,1,Steinolía og þotueldsneyti,0.0,0.0
1927,2004,1,Metan,25.0,0.0
1932,2004,1,Steinolía og þotueldsneyti,12.0,0.0
1933,2004,1,Steinolía og þotueldsneyti,101.0,0.0
1971,2004,1,Steinolía og þotueldsneyti,50.0,0.0
1998,2005,1,Steinolía og þotueldsneyti,0.0,0.0
1999,2005,1,Steinolía og þotueldsneyti,0.0,0.0
2066,2005,1,Metan,39.0,0.0
2071,2005,1,Steinolía og þotueldsneyti,22.0,0.0
2072,2005,1,Steinolía og þotueldsneyti,101.0,0.0
2106,2005,1,Steinolía og þotueldsneyti,50.0,0.0
2127,2005,1,Vetni,9.0,0.0
2137,2006,1,Steinolía og þotueldsneyti,0.0,0.0
2138,2006,1,Steinolía og þotueldsneyti,0.0,0.0
2204,2006,1,Metan,98.0,0.0
2208,2006,1,Steinolía og þotueldsneyti,4.0,0.0
2209,2006,1,Steinolía og þotueldsneyti,77.0,0.0
2243,2006,1,Steinolía og þotueldsneyti,44.0,0.0
2264,2006,1,Vetni,11.0,0.0
2274,2007,1,Steinolía og þotueldsneyti,69.0,0.0
2300,2007,1,Metan,166.0,0.0
2316,2007,1,Steinolía og þotueldsneyti,88.0,0.0
2317,2007,1,Steinolía og þotueldsneyti,0.0,0.0
2380,2007,1,Steinolía og þotueldsneyti,33.0,0.0
2433,2008,1,Steinolía og þotueldsneyti,209.0,0.0
2434,2008,1,Steinolía og þotueldsneyti,0.0,0.0
2493,2008,1,Metan,373.0,0.0
2496,2008,1,Vetni,0.0,0.0
2514,2008,1,Steinolía og þotueldsneyti,270.0,0.0
2515,2008,1,Steinolía og þotueldsneyti,0.0,0.0
2579,2008,1,Steinolía og þotueldsneyti,313.0,0.0
2580,2008,1,Steinolía og þotueldsneyti,1.0,0.0
2637,2008,1,Vetni,1409.0,0.0
2652,2009,1,Steinolía og þotueldsneyti,1128.0,0.0
2653,2009,1,Steinolía og þotueldsneyti,21.0,0.0
2709,2009,1,Metan,437.0,0.0
2723,2009,1,Steinolía og þotueldsneyti,-3000.0,-0.0
2729,2009,1,Steinolía og þotueldsneyti,163.0,0.0
2730,2009,1,Steinolía og þotueldsneyti,0.0,0.0
2790,2009,1,Steinolía og þotueldsneyti,2712.0,0.0
2791,2009,1,Steinolía og þotueldsneyti,0.0,0.0
2845,2009,1,Vetni,1282.0,0.0
2850,2010,1,Steinolía og þotueldsneyti,0.0,0.0
2851,2010,1,Steinolía og þotueldsneyti,0.0,0.0
2882,2010,1,Steinolía og þotueldsneyti,578.0,0.0
2883,2010,1,Steinolía og þotueldsneyti,30.0,0.0
2941,2010,1,Metan,595.0,0.0
2944,2010,1,Vetni,0.0,0.0
2960,2010,1,Steinolía og þotueldsneyti,231.0,0.0
2961,2010,1,Steinolía og þotueldsneyti,0.0,0.0
3027,2010,1,Steinolía og þotueldsneyti,362.0,0.0
3028,2010,1,Steinolía og þotueldsneyti,17.0,0.0
3082,2010,1,Vetni,2153.0,0.0
3116,2011,1,Steinolía og þotueldsneyti,1131.0,0.0
3117,2011,1,Steinolía og þotueldsneyti,258.0,0.0
3182,2011,1,Metan,1328.0,0.0
3198,2011,1,Steinolía og þotueldsneyti,562.0,0.0
3199,2011,1,Steinolía og þotueldsneyti,0.0,0.0
3266,2011,1,Steinolía og þotueldsneyti,1211.0,0.0
3267,2011,1,Steinolía og þotueldsneyti,6.0,0.0
3332,2011,1,Vetni,1132.0,0.0
3338,2012,1,Steinolía og þotueldsneyti,0.0,0.0
3339,2012,1,Steinolía og þotueldsneyti,0.0,0.0
3402,2012,1,Metan,0.0,0.0
3405,2012,1,Vetni,0.0,0.0
3407,2012,1,Lífdísilolía,0.0,0.0
3408,2012,1,Lífdísilolía,0.0,0.0
3422,2012,1,Etanól,0.0,0.0
3424,2012,1,Metanól,0.0,0.0
3430,2012,1,Steinolía og þotueldsneyti,0.0,0.0
3431,2012,1,Steinolía og þotueldsneyti,0.0,0.0
3494,2012,1,Metan,0.0,0.0
3497,2012,1,Vetni,0.0,0.0
3499,2012,1,Lífdísilolía,0.0,0.0
3500,2012,1,Lífdísilolía,0.0,0.0
3514,2012,1,Etanól,0.0,0.0
3516,2012,1,Metanól,0.0,0.0
3522,2012,1,Steinolía og þotueldsneyti,9.0,0.0
3523,2012,1,Steinolía og þotueldsneyti,28.0,0.0
3588,2012,1,Metan,2009.0,0.0
3591,2012,1,Vetni,0.0,0.0
3593,2012,1,Lífdísilolía,176.0,0.0
3594,2012,1,Lífdísilolía,0.0,0.0
3608,2012,1,Etanól,0.0,0.0
3610,2012,1,Metanól,0.0,0.0
3619,2012,1,Steinolía og þotueldsneyti,0.0,0.0
3620,2012,1,Steinolía og þotueldsneyti,0.0,0.0
3683,2012,1,Metan,0.0,0.0
3686,2012,1,Vetni,0.0,0.0
3688,2012,1,Lífdísilolía,0.0,0.0
3689,2012,1,Lífdísilolía,0.0,0.0
3703,2012,1,Etanól,0.0,0.0
3705,2012,1,Metanól,0.0,0.0
3711,2012,1,Steinolía og þotueldsneyti,24.0,0.0
3712,2012,1,Steinolía og þotueldsneyti,0.0,0.0
3775,2012,1,Metan,0.0,0.0
3778,2012,1,Vetni,0.0,0.0
3780,2012,1,Lífdísilolía,0.0,0.0
3781,2012,1,Lífdísilolía,0.0,0.0
3795,2012,1,Etanól,0.0,0.0
3797,2012,1,Metanól,0.0,0.0
3803,2012,1,Steinolía og þotueldsneyti,64.0,0.0
3804,2012,1,Steinolía og þotueldsneyti,0.0,0.0
3867,2012,1,Metan,0.0,0.0
3870,2012,1,Vetni,0.0,0.0
3872,2012,1,Lífdísilolía,0.0,0.0
3873,2012,1,Lífdísilolía,0.0,0.0
3887,2012,1,Etanól,0.0,0.0
3889,2012,1,Metanól,0.0,0.0
3942,2013,1,Metan,1680.0,0.0
3943,2013,1,Lífdísilolía,122.0,0.0
3944,2013,1,Lífdísilolía,47.0,0.0
3949,2013,1,Steinolía og þotueldsneyti,34.0,0.0
3985,2013,1,Metan,268.0,0.0
