,Ar,Losun (kg)
0,1982,258245714.805
1,1983,250594229.405
2,1984,256478329.445
3,1985,266021132.71500003
4,1986,282840929.67
5,1987,316626009.57
6,1988,339628961.09999996
7,1989,338093275.65000004
8,1990,344349173.22
9,1991,357348615.845
10,1992,366360664.67
11,1993,362507980.12
12,1994,366613918.06
13,1995,365334180.18500006
14,1996,371331435.995
15,1997,371945710.175
16,1998,382606600.21999997
17,1999,389872817.165
18,2000,384188086.815
19,2001,386898436.925
20,2002,390584082.005
21,2003,395204609.28
22,2004,408034318.25
23,2005,422259615.05
24,2006,434378059.18000007
25,2007,430859453.57
26,2008,417908506.27500004
27,2009,417415470.42
28,2010,399315935.59
29,2011,384427869.28
30,2012,368674969.585
31,2013,363556018.08500004
32,2014,355756352.51
33,2015,356909463.69000006
34,2016,367365595.675
35,2017,360374185.59999996
36,2018,342441690.24
