,Ar,TegundNr,EldsnTegHeiti,Notkun
2,1982,1,Bensín,37616.0
10,1982,1,Dísilolía,10993.0
11,1982,1,Dísilolía,20697.0
23,1982,1,Bensín,26328.0
29,1982,1,Dísilolía,7900.0
30,1982,1,Dísilolía,6632.0
38,1982,1,Bensín,31909.0
46,1982,1,Dísilolía,10491.0
47,1982,1,Dísilolía,3195.0
59,1983,1,Bensín,36206.0
68,1983,1,Dísilolía,11236.0
69,1983,1,Dísilolía,23348.0
81,1983,1,Bensín,26091.0
87,1983,1,Dísilolía,8000.0
88,1983,1,Dísilolía,7712.0
97,1983,1,Bensín,30716.0
107,1983,1,Dísilolía,10544.0
108,1983,1,Dísilolía,2914.0
120,1984,1,Bensín,36332.0
130,1984,1,Dísilolía,11524.0
131,1984,1,Dísilolía,2655.0
132,1984,1,Dísilolía,19815.0
146,1984,1,Bensín,27394.0
153,1984,1,Dísilolía,8100.0
154,1984,1,Dísilolía,10162.0
163,1984,1,Bensín,31471.0
172,1984,1,Dísilolía,10340.0
173,1984,1,Dísilolía,4025.0
185,1985,1,Bensín,37955.0
195,1985,1,Dísilolía,12085.0
196,1985,1,Dísilolía,2777.0
197,1985,1,Dísilolía,17917.0
211,1985,1,Bensín,28500.0
218,1985,1,Dísilolía,8115.0
219,1985,1,Dísilolía,9961.0
227,1985,1,Bensín,32284.0
237,1985,1,Dísilolía,11364.0
238,1985,1,Dísilolía,3325.0
250,1986,1,Bensín,16878.0
251,1986,1,Bensín,23805.0
260,1986,1,Dísilolía,12910.0
261,1986,1,Dísilolía,2928.0
262,1986,1,Dísilolía,17049.0
276,1986,1,Bensín,30222.0
284,1986,1,Dísilolía,8258.0
285,1986,1,Dísilolía,9019.0
293,1986,1,Bensín,34077.0
303,1986,1,Dísilolía,12140.0
304,1986,1,Dísilolía,3080.0
316,1987,1,Bensín,39574.0
317,1987,1,Bensín,7859.0
327,1987,1,Dísilolía,13430.0
328,1987,1,Dísilolía,4159.0
